50.52,120.34
52.52,130.34
53.52,115.34
55.52,145.34
59.52,120.34
60.52,120.34
55.52,120.34
62.52,120.34
100.52,250.34
65.52,180.34
70.52,195.34
71.52,200.34
74.52,205.34
79.52,208.34
80.52,212.34
85.52,215.34
88.52,215.34
84.52,213.34
83.52,210.34
90.52,230.34
92.52,235.34
95.52,240.34
90.52,238.34
93.52,245.34
99.52,250.34
96.52,258.34
100.52,260.34
110.52,280.34
104.52,265.34
105.52,269.34
120.52,300.34
115.52,295.34
117.52,298.34
125.52,315.34
139.52,350.34
140.52,355.34
150.52,365.34
190.52,450.34
180.52,400.34
185.52,410.34
160.52,365.34
